trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status,stage,environment,parameter,value,setting,algorithm_key,canonical_algorithm,comm_label,target_count_condition,scenario_generation_seed,scenario_sha256,out_dir,run_id
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,34.5374755429016,34.5374755429016,1,1,1,76,21,78,2,6,0,0,0,0.0,0,180,0,236,580,125,77,159,157,79,0.26371308016877637,47.2,15.8,acbba_entry:79;collision_intent:77;state:80,0.3500000000000001,0.07692307692307687,44,12.0397,0.4399,4.4958,0.2341,44,7.5439,0.2226,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,18.00483920888599,18.00483920888599,0,0,0,39,11,43,0,3,0,0,0,0.0,0,97,0,144,351,79,41,103,84,60,0.25732899022801303,28.8,12.0,acbba_entry:60;collision_intent:41;state:43,0.3500000000000001,0.06395348837209291,31,8.3224,0.4028,2.9907,0.1659,31,5.3317,0.2369,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,26.78884752180492,26.78884752180492,2,2,2,59,16,61,2,7,3,1,1,5.0,1,144,0,190,482,87,61,129,124,66,0.22538860103626943,38.0,13.2,acbba_entry:66;collision_intent:61;state:63,0.55,0.07786885245901631,40,10.6879,0.49,3.919,0.2659,40,6.7689,0.2241,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,36.07736494225889,36.07736494225889,3,3,3,65,22,64,5,3,3,3,0,0.0,0,210,0,194,489,90,70,124,139,55,0.24390243902439024,38.8,11.0,acbba_entry:55;collision_intent:70;state:69,0.55,0.1875,84,15.5811,0.3689,4.9929,0.1475,84,10.5882,0.2257,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,39.64670492655056,39.64670492655056,2,2,2,87,23,87,4,8,2,2,0,0.0,0,207,0,255,631,131,91,164,182,73,0.26789366053169733,51.0,14.6,acbba_entry:73;collision_intent:91;state:91,0.6499999999999999,0.05459770114942519,43,9.7512,0.4291,3.7521,0.1889,43,5.9991,0.2402,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
5,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,37.03313282236717,37.03313282236717,2,2,2,58,22,58,4,2,0,0,0,0.0,0,224,0,178,428,104,61,117,123,55,0.2979942693409742,35.6,11.0,acbba_entry:55;collision_intent:61;state:62,0.44999999999999996,0.21551724137931028,116,17.2738,0.2355,5.5816,0.098,116,11.6922,0.1375,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
6,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,33.075325790097594,33.075325790097594,0,0,0,55,20,59,0,9,4,2,2,10.0,1,198,0,181,430,110,61,120,120,61,0.3081232492997199,36.2,12.2,acbba_entry:61;collision_intent:61;state:59,0.3500000000000001,0.19915254237288127,99,16.0544,0.2542,5.3579,0.0994,99,10.6965,0.1594,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
7,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,38.65994860526255,38.65994860526255,1,1,1,82,23,84,2,5,0,0,0,0.0,0,204,0,257,660,108,84,173,170,87,0.20930232558139536,51.4,17.4,acbba_entry:87;collision_intent:84;state:86,0.55,0.08333333333333326,57,9.5385,0.2391,3.3168,0.0934,57,6.2217,0.162,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
8,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,35.364936486975054,35.364936486975054,1,1,1,71,21,72,3,5,3,1,1,5.0,1,196,0,215,519,125,76,139,151,64,0.3004807692307692,43.0,12.8,acbba_entry:64;collision_intent:76;state:75,0.3500000000000001,0.10416666666666674,63,12.2354,0.3729,4.2196,0.1879,63,8.0158,0.2076,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
9,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,31.746579287358003,31.746579287358003,0,0,0,66,19,70,0,5,0,0,0,0.0,0,173,0,212,512,122,69,143,139,73,0.2857142857142857,42.4,14.6,acbba_entry:73;collision_intent:69;state:70,0.3500000000000001,0.07857142857142851,61,11.9855,0.3475,4.279,0.1587,61,7.7065,0.218,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
